prefecture,area,suumo_count,mean_rent_est_yen,median_rent_est_yen,foreign_resident_ratio_pct_2020,estimated_avg_age_2020,crime_count,crime_rate_per_1000,population_2020,notes,suumo_search_names,stat_names,sc_codes,bucket_count_sum,crime_basis,suumo_source_url
大阪府,大阪市住之江区,1117,139033.0007674597,145269.23076923078,3.055666600039976,47.08357230643178,1372,11.426477446865213,120072.0,大阪市は区単位,大阪市住之江区,大阪市住之江区,27125,1303,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27125&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市平野区,2051,110580.42789223453,106589.86175115209,3.8271784837004037,46.02146810683003,1702,8.857571089554103,192152.0,大阪市は区単位,大阪市平野区,大阪市平野区,27126,2524,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27126&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市北区,4508,228095.57945041812,210664.8936170213,3.5070600390311104,42.76677791705438,4789,34.36029158535185,139376.0,大阪市は区単位,大阪市北区,大阪市北区,27127,4185,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27127&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市中央区,5767,263062.72743025474,263629.18509159825,7.031988122553651,41.93509770611669,6162,59.40651331392322,103726.0,大阪市は区単位,大阪市中央区,大阪市中央区,27128,5771,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27128&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,堺市,11055,114661.06442577032,114965.79247434436,1.5113276952071086,45.6448266118388,6651,8.050488948280057,826161.0,堺市7区を市単位に集約,堺市堺区 / 堺市中区 / 堺市東区 / 堺市西区 / 堺市南区 / 堺市北区 / 堺市美原区,堺市,"27141,27142,27143,27144,27145,27146,27147",12495,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27141&sc=27142&sc=27143&sc=27144&sc=27145&sc=27146&sc=27147&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,岸和田市,2224,78710.69182389938,74861.31386861314,1.265616968603468,45.52724988932566,1665,8.732914433173537,190658.0,,岸和田市,岸和田市,27202,2544,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27202&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,豊中市,8847,130907.51499250377,124994.47513812153,1.31662175825161,44.37714663967369,2298,5.722710044377151,401558.0,,豊中市,豊中市,27203,10672,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27203&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,池田市,1812,122531.03448275862,120365.8536585366,1.792500452411113,45.069484822678376,564,5.371786690541274,104993.0,,池田市,池田市,27204,2175,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27204&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,吹田市,8514,143855.6287596677,135827.9220779221,1.2236524391350918,43.406858446358534,2141,5.552861111039067,385567.0,,吹田市,吹田市,27205,10473,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27205&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,泉大津市,1017,86455.58487247142,83109.45273631842,1.5871096059775305,44.73177058380672,676,9.084556254367575,74412.0,,泉大津市,泉大津市,27206,1137,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27206&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,高槻市,6141,112872.48883928572,104009.009009009,0.8568236848521964,45.950269676243906,1773,5.0269635779051765,352698.0,,高槻市,高槻市,27207,7168,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27207&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,貝塚市,399,75305.67685589519,71545.45454545454,1.0243596272041495,45.04735326106443,612,7.247492391317221,84443.0,,貝塚市,貝塚市,27208,458,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27208&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,守口市,899,103995.3488372093,97182.74111675128,1.5535025437468553,46.30955487997247,1324,9.252529770224186,143096.0,,守口市,守口市,27209,1075,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27209&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,枚方市,6183,88134.27754323845,80065.45820745216,0.7777713452927214,46.137003639524146,1814,4.565945696961154,397289.0,,枚方市,枚方市,27210,7343,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27210&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,茨木市,8517,114717.00894173136,105838.97158322057,1.1177145240329476,43.6595613928528,1757,6.106419212456122,287730.0,,茨木市,茨木市,27211,10177,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27211&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,八尾市,4793,90419.55555555555,85078.90365448505,2.6843811639875756,45.7469925188184,2085,7.878568027750696,264642.0,,八尾市,八尾市,27212,5625,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27212&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,泉佐野市,601,86240.76809453472,77527.77777777777,1.7327301235381651,45.157799458434326,879,8.778500164784132,100131.0,,泉佐野市,泉佐野市,27213,677,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27213&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,富田林市,1005,77635.78274760382,74094.48818897638,1.2060828526481384,46.6610928260627,704,6.476600520703962,108699.0,,富田林市,富田林市,27214,1252,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27214&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
